iter	Passed	Remaining
281	8957	6924
282	8986	6890
283	9021	6861
284	9054	6830
285	9089	6801
286	9124	6771
287	9157	6740
288	9189	6709
289	9222	6678
290	9255	6647
291	9287	6615
292	9321	6585
293	9351	6552
294	9381	6519
295	9414	6488
296	9448	6457
297	9480	6426
298	9513	6395
299	9542	6361
300	9573	6329
301	9608	6299
302	9643	6269
303	9675	6238
304	9708	6206
305	9741	6175
306	9775	6145
307	9808	6114
308	9841	6083
309	9872	6051
310	9906	6020
311	9939	5989
312	9969	5956
313	10003	5925
314	10036	5894
315	10071	5864
316	10104	5832
317	10138	5802
318	10169	5770
319	10201	5738
320	10233	5706
321	10266	5675
322	10299	5643
323	10330	5611
324	10364	5581
325	10396	5548
326	10426	5516
327	10459	5484
328	10492	5453
329	10524	5421
330	10557	5390
331	10589	5358
332	10623	5327
333	10658	5297
334	10691	5265
335	10725	5234
336	10754	5201
337	10789	5171
338	10821	5139
339	10853	5107
340	10886	5075
341	10915	5042
342	10944	5009
343	10978	4978
344	11009	4946
345	11041	4914
346	11073	4882
347	11106	4851
348	11140	4819
349	11173	4788
350	11204	4756
351	11235	4724
352	11263	4690
353	11298	4659
354	11329	4627
355	11364	4596
356	11395	4564
357	11429	4533
358	11461	4501
359	11492	4469
360	11526	4438
361	11558	4406
362	11591	4374
363	11625	4343
364	11660	4312
365	11688	4279
366	11719	4247
367	11754	4216
368	11789	4185
369	11822	4153
370	11857	4123
371	11890	4091
372	11923	4059
373	11958	4028
374	11989	3996
375	12021	3964
376	12053	3932
377	12086	3900
378	12119	3869
379	12149	3836
380	12182	3804
381	12214	3773
382	12245	3740
383	12275	3708
384	12306	3676
385	12338	3643
386	12371	3612
387	12404	3580
388	12436	3548
389	12473	3518
390	12505	3486
391	12537	3454
392	12571	3422
393	12604	3390
394	12636	3359
395	12669	3327
396	12700	3295
397	12735	3263
398	12769	3232
399	12801	3200
400	12834	3168
401	12869	3137
